tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
16,42.98,687.68,One year,Electronic check,1
17,26.87,456.79,Month-to-month,Bank transfer (automatic),1
16,79.41,1270.56,Month-to-month,Electronic check,1
18,40.48,728.64,One year,Bank transfer (automatic),0
34,89.21,3033.14,Two year,Electronic check,1
10,28.43,284.3,Month-to-month,Credit card (automatic),1
8,100.33,802.64,Month-to-month,Electronic check,1
12,26.04,312.48,Month-to-month,Credit card (automatic),1
17,76.89,1307.13,One year,Credit card (automatic),0
9,118.49,1066.41,Month-to-month,Electronic check,1
53,82.84,4390.52,Two year,Mailed check,0
8,89.59,716.72,Month-to-month,Electronic check,1
17,92.37,1570.29,Month-to-month,Bank transfer (automatic),1
20,88.19,1763.8,Month-to-month,Credit card (automatic),1
1,41.36,41.36,Month-to-month,Bank transfer (automatic),1
6,111.14,666.84,Month-to-month,Electronic check,1
19,58.35,1108.65,One year,Electronic check,0
7,93.99,657.93,Month-to-month,Electronic check,1
21,58.74,1233.54,One year,Mailed check,1
29,95.09,2757.61,Two year,Mailed check,0
21,61.06,1282.26,Month-to-month,Electronic check,1
16,43.64,698.24,Month-to-month,Credit card (automatic),0
31,87.53,2713.43,Two year,Bank transfer (automatic),0
3,47.94,143.82,Month-to-month,Bank transfer (automatic),1
23,44.87,1032.01,Month-to-month,Bank transfer (automatic),0
20,48.44,968.8,Month-to-month,Credit card (automatic),0
24,34.48,827.52,One year,Electronic check,0
62,51.06,3165.72,Two year,Credit card (automatic),0
43,42.42,1824.06,Two year,Credit card (automatic),0
23,67.57,1554.11,One year,Electronic check,1
14,85.29,1194.06,One year,Bank transfer (automatic),0
19,61.16,1162.04,Month-to-month,Mailed check,1
6,90.72,544.32,Month-to-month,Bank transfer (automatic),1
20,64.05,1281.0,One year,Mailed check,1
17,41.47,704.99,Month-to-month,Electronic check,1
7,24.87,174.09,Month-to-month,Bank transfer (automatic),1
8,86.24,689.92,Month-to-month,Mailed check,1
18,76.77,1381.86,Month-to-month,Credit card (automatic),1
3,27.89,83.67,Month-to-month,Mailed check,1
23,23.53,541.19,Month-to-month,Mailed check,0
23,52.61,1210.03,One year,Electronic check,0
14,32.3,452.2,Month-to-month,Electronic check,1
2,63.2,126.4,Month-to-month,Credit card (automatic),0
20,103.27,2065.4,One year,Electronic check,0
34,59.45,2021.3,Two year,Credit card (automatic),0
34,56.66,1926.44,Two year,Credit card (automatic),0
14,47.1,659.4,Month-to-month,Credit card (automatic),0
22,91.28,2008.16,One year,Credit card (automatic),1
18,93.05,1674.9,Month-to-month,Credit card (automatic),1
15,69.29,1039.35,Month-to-month,Electronic check,0
2,104.84,209.68,Month-to-month,Credit card (automatic),1
12,30.23,362.76,Month-to-month,Credit card (automatic),0
19,26.36,500.84,Month-to-month,Bank transfer (automatic),0
16,38.83,621.28,One year,Electronic check,0
21,83.84,1760.64,Month-to-month,Mailed check,1
24,64.75,1554.0,Two year,Credit card (automatic),0
37,69.6,2575.2,Two year,Electronic check,1
7,55.69,389.83,Month-to-month,Electronic check,1
63,118.35,7456.05,Two year,Bank transfer (automatic),0
17,48.54,825.18,Month-to-month,Bank transfer (automatic),0
31,108.75,3371.25,Two year,Electronic check,0
6,91.2,547.2,Month-to-month,Electronic check,1
19,43.61,828.59,One year,Electronic check,0
8,22.5,180.0,Month-to-month,Bank transfer (automatic),1
5,93.61,468.05,Month-to-month,Credit card (automatic),1
2,114.4,228.8,Month-to-month,Electronic check,1
11,77.42,851.62,Month-to-month,Electronic check,1
1,109.69,109.69,Month-to-month,Electronic check,1
24,75.11,1802.64,Month-to-month,Electronic check,0
39,106.19,4141.41,Two year,Bank transfer (automatic),0
25,36.29,907.25,Two year,Credit card (automatic),0
22,106.13,2334.86,One year,Mailed check,0
3,57.02,171.06,Month-to-month,Credit card (automatic),1
14,53.67,751.38,Month-to-month,Electronic check,0
66,37.7,2488.2,Two year,Electronic check,0
41,53.82,2206.62,Two year,Credit card (automatic),0
17,113.8,1934.6,One year,Credit card (automatic),1
40,21.9,876.0,Two year,Electronic check,0
13,79.83,1037.79,Month-to-month,Credit card (automatic),1
8,22.53,180.24,Month-to-month,Bank transfer (automatic),1
