customer_id,age,income,monthly_income,debt_ratio,revolving_utilization,num_open_credit_lines,num_dependents,num_30_59_days_late,num_60_89_days_late,num_90_days_late,num_mortgages,number_real_estate_loans,default
CUST-000000,23,15803.91,1316.99,0.3643,42.82,4,0,1,3,0,0,0,1
CUST-000001,65,61112.65,5092.72,0.5237,70.51,4,0,1,0,0,0,0,0
CUST-000002,79,14667.22,1222.27,0.1292,36.98,1,0,0,0,0,3,3,0
CUST-000003,70,30811.71,2567.64,0.0962,33.6,2,1,1,0,0,2,2,0
CUST-000004,59,50590.93,4215.91,0.1155,10.04,5,2,1,1,1,1,1,0
CUST-000005,48,13064.45,1088.7,0.2745,12.53,2,1,0,0,0,0,0,0
CUST-000006,78,34927.34,2910.61,0.2093,25.0,5,0,1,0,0,0,0,0
CUST-000007,25,15522.85,1293.57,0.1245,37.76,1,0,0,1,0,1,1,0
CUST-000008,79,36317.95,3026.5,0.1676,89.82,4,1,5,1,0,0,0,1
CUST-000009,49,27922.27,2326.86,0.2853,16.55,4,1,0,1,1,1,1,0
CUST-000010,47,46327.61,3860.63,0.1622,24.5,6,1,1,0,0,3,3,0
CUST-000011,46,131059.08,10921.59,0.1236,55.27,1,2,1,0,0,0,0,0
CUST-000012,77,5614.5,467.87,0.1866,74.79,3,0,0,1,0,0,0,0
CUST-000013,32,15431.99,1286.0,0.183,80.63,3,1,1,1,0,1,1,0
CUST-000014,56,27683.54,2306.96,0.4245,11.36,6,0,0,0,1,2,2,0
CUST-000015,37,47844.73,3987.06,0.2806,90.06,6,1,0,0,0,0,0,0
CUST-000016,75,56682.84,4723.57,0.317,15.92,10,1,0,1,0,1,1,0
CUST-000017,70,131780.5,10981.71,0.0516,35.57,6,3,0,0,1,0,0,1
CUST-000018,77,22120.66,1843.39,0.3803,69.06,4,0,3,0,0,0,0,1
CUST-000019,49,18119.83,1509.99,0.3227,27.54,6,2,1,0,0,2,2,1
CUST-000020,76,18744.13,1562.01,0.2273,21.65,4,1,0,0,0,0,0,0
CUST-000021,77,17355.95,1446.33,0.4001,84.18,5,0,0,0,0,1,1,0
CUST-000022,22,17384.25,1448.69,0.3477,32.94,0,0,1,2,0,0,0,1
CUST-000023,40,44312.84,3692.74,0.39,65.25,2,1,1,0,0,1,1,0
CUST-000024,65,26328.46,2194.04,0.4338,53.18,7,2,2,0,1,0,0,0
CUST-000025,73,36724.09,3060.34,0.5709,9.23,7,0,0,0,1,0,0,1
CUST-000026,68,18649.43,1554.12,0.1804,20.74,3,1,0,0,0,0,0,0
CUST-000027,70,31704.83,2642.07,0.3187,70.22,7,0,1,0,0,1,1,0
CUST-000028,42,37335.11,3111.26,0.2045,59.15,6,0,3,1,1,0,0,0
CUST-000029,46,26906.6,2242.22,0.5348,58.34,1,0,1,2,0,2,2,0
CUST-000030,61,39400.77,3283.4,0.1935,49.68,3,0,1,0,0,0,0,0
CUST-000031,48,22713.89,1892.82,0.4967,45.52,9,1,2,2,0,1,1,1
CUST-000032,35,52065.29,4338.77,0.2858,11.76,1,1,1,0,0,0,0,0
CUST-000033,22,45166.74,3763.89,0.175,56.2,3,1,2,1,1,0,0,1
CUST-000034,70,123676.32,10306.36,0.3397,60.04,3,0,0,0,0,0,0,0
CUST-000035,73,35047.2,2920.6,0.3755,54.76,6,2,0,0,1,1,1,0
CUST-000036,22,146052.06,12171.01,0.1864,50.45,4,2,1,1,0,1,1,0
CUST-000037,41,10295.94,857.99,0.2483,31.27,3,1,0,0,1,1,1,1
CUST-000038,53,8083.73,673.64,0.1065,35.55,4,0,1,1,1,1,1,1
CUST-000039,29,14741.32,1228.44,0.3638,50.35,2,1,2,0,0,0,0,0
CUST-000040,40,61169.17,5097.43,0.3024,54.9,3,2,1,0,0,0,0,0
CUST-000041,74,21339.16,1778.26,0.2036,75.25,3,3,1,1,0,2,2,1
CUST-000042,24,26567.87,2213.99,0.4539,60.96,3,0,0,0,1,0,0,0
CUST-000043,77,38343.13,3195.26,0.6161,9.35,2,0,0,0,0,2,2,0
CUST-000044,31,10366.69,863.89,0.1859,37.84,2,1,1,0,0,2,2,0
CUST-000045,28,56396.48,4699.71,0.3171,29.58,4,3,1,0,0,0,0,0
CUST-000046,42,47061.48,3921.79,0.1536,53.07,4,1,2,1,0,2,2,0
CUST-000047,70,10365.71,863.81,0.255,55.78,3,1,0,1,0,0,0,0
CUST-000048,43,23674.43,1972.87,0.0882,44.12,2,3,0,2,0,0,0,1
CUST-000049,76,169118.84,14093.24,0.5516,35.13,5,1,2,1,0,2,2,0
CUST-000050,21,13720.21,1143.35,0.1795,20.15,3,0,2,0,0,1,1,0
CUST-000051,43,26167.69,2180.64,0.2365,35.21,6,3,1,0,0,0,0,0
CUST-000052,51,12730.58,1060.88,0.0629,50.58,3,0,1,0,0,2,2,0
CUST-000053,70,154373.71,12864.48,0.3995,20.1,4,2,0,0,0,2,2,0
CUST-000054,22,94112.35,7842.7,0.6093,30.83,1,0,1,1,0,1,1,0
CUST-000055,70,37991.94,3165.99,0.3714,18.29,2,0,0,0,0,0,0,0
CUST-000056,65,37228.79,3102.4,0.2508,37.67,6,2,0,0,0,0,0,0
CUST-000057,68,21413.14,1784.43,0.3506,68.37,5,2,1,1,0,1,1,0
CUST-000058,39,57900.8,4825.07,0.2414,40.74,2,1,0,0,0,0,0,0
CUST-000059,26,82283.49,6856.96,0.4363,45.19,5,2,2,0,0,1,1,0
CUST-000060,21,212186.36,17682.2,0.1275,33.48,5,1,0,0,1,0,0,0
CUST-000061,27,102839.69,8569.97,0.2491,51.86,2,1,0,1,1,0,0,0
CUST-000062,29,31437.43,2619.79,0.3506,27.99,3,1,0,1,0,0,0,0
CUST-000063,30,15335.89,1277.99,0.1443,21.02,4,0,3,0,0,0,0,0
CUST-000064,24,8291.04,690.92,0.299,36.41,1,0,1,0,0,1,1,0
CUST-000065,65,19930.34,1660.86,0.2288,30.93,4,1,0,0,0,0,0,0
CUST-000066,45,35352.25,2946.02,0.0756,26.01,4,2,2,1,0,0,0,1
CUST-000067,27,68263.21,5688.6,0.1214,42.93,8,0,3,0,1,0,0,0
CUST-000068,52,17662.04,1471.84,0.679,52.56,4,0,0,0,0,0,0,0
CUST-000069,60,65627.76,5468.98,0.4318,22.7,9,1,1,0,0,0,0,0
CUST-000070,26,33515.45,2792.95,0.1842,48.84,4,0,0,1,0,0,0,0
CUST-000071,41,36635.99,3053.0,0.6977,56.53,4,1,0,0,0,1,1,0
CUST-000072,48,28296.32,2358.03,0.5018,69.55,4,4,1,0,0,2,2,0
CUST-000073,19,112210.25,9350.85,0.4046,57.33,7,0,3,1,1,0,0,0
CUST-000074,28,39031.55,3252.63,0.1286,60.9,3,1,1,1,0,1,1,0
CUST-000075,33,52044.39,4337.03,0.1457,13.15,4,0,0,1,0,0,0,0
CUST-000076,51,15904.77,1325.4,0.159,44.13,3,2,1,1,0,2,2,0
CUST-000077,69,13206.39,1100.53,0.5222,12.64,3,0,0,2,0,3,3,0
CUST-000078,50,147578.87,12298.24,0.2958,47.72,6,1,0,0,0,0,0,0
CUST-000079,63,21701.81,1808.48,0.1656,42.36,2,0,1,0,0,0,0,0
CUST-000080,53,9590.37,799.2,0.5097,71.1,5,2,2,0,0,1,1,0
CUST-000081,56,38241.31,3186.78,0.4292,52.8,2,1,0,2,0,0,0,0
CUST-000082,25,18210.62,1517.55,0.5679,27.67,5,2,0,1,0,2,2,0
CUST-000083,33,19918.82,1659.9,0.5049,64.49,4,0,1,0,1,0,0,0
CUST-000084,59,46835.6,3902.97,0.1959,16.51,8,0,1,0,0,0,0,0
CUST-000085,65,25927.97,2160.66,0.3397,59.36,6,1,2,0,0,0,0,0
CUST-000086,67,113419.38,9451.62,0.5268,65.14,3,3,1,1,0,0,0,1
CUST-000087,38,24917.92,2076.49,0.4865,37.57,1,0,2,1,0,0,0,0
CUST-000088,36,32125.82,2677.15,0.1303,56.0,5,4,0,1,0,0,0,0
CUST-000089,30,32623.18,2718.6,0.0706,56.26,4,1,1,0,0,1,1,0
CUST-000090,30,12156.83,1013.07,0.1498,66.42,4,2,1,0,1,1,1,0
