transaction_id,transaction_amount,merchant_category,hour_of_day,day_of_week,distance_from_home,is_international,card_age_days,num_transactions_24h,avg_transaction_amount_30d,is_weekend,is_fraud
TXN-00000000,47.73,entertainment,10,3,4.2,0,1717,4,49.58,0,0
TXN-00000001,35.85,electronics,19,3,2.31,0,887,2,21.16,0,0
TXN-00000002,143.6,jewelry,21,4,6.26,0,1556,0,34.13,0,0
TXN-00000003,432.67,electronics,23,2,3.57,0,652,1,12.53,0,1
TXN-00000004,72.29,education,10,1,16.26,0,1665,5,42.23,0,1
TXN-00000005,46.85,clothing,15,3,8.45,0,1410,2,12.27,0,0
TXN-00000006,4.4,grocery,18,4,24.67,0,1269,1,16.95,0,0
TXN-00000007,26.32,education,20,0,0.75,0,468,5,35.35,0,0
TXN-00000008,21.42,restaurant,2,5,6.73,0,1444,3,22.67,1,0
TXN-00000009,30.09,entertainment,8,6,7.55,0,176,6,20.81,1,1
TXN-00000010,22.05,restaurant,10,4,4.65,0,405,4,24.97,0,0
TXN-00000011,24.85,entertainment,2,5,1.06,0,832,1,79.09,1,0
TXN-00000012,15.37,online_retail,22,6,25.15,0,1162,0,7.56,1,0
TXN-00000013,48.24,grocery,1,1,4.29,0,973,3,17.6,0,0
TXN-00000014,27.97,electronics,19,0,8.71,0,1792,2,30.71,0,0
TXN-00000015,38.72,online_retail,2,4,14.74,1,1832,4,51.69,0,1
TXN-00000016,27.44,hardware,6,6,4.54,1,1872,7,29.24,1,0
TXN-00000017,124.9,hardware,2,5,12.69,0,1493,1,97.41,1,0
TXN-00000018,20.91,electronics,14,5,6.04,0,1749,4,75.64,1,0
TXN-00000019,71.72,education,2,2,15.26,0,1013,4,16.65,0,0
TXN-00000020,110.31,travel,15,2,15.68,0,1911,0,29.78,0,0
TXN-00000021,9.01,pharmacy,3,5,30.39,0,838,4,64.37,1,0
TXN-00000022,15.1,jewelry,5,2,37.12,0,1062,3,22.75,0,0
TXN-00000023,5.69,travel,5,1,7.7,0,474,1,18.27,0,1
TXN-00000024,263.6,online_retail,7,6,46.31,0,288,1,8.17,1,1
TXN-00000025,24.05,gas_station,4,5,24.23,0,107,4,31.6,1,0
TXN-00000026,969.62,gas_station,5,4,11.15,1,1142,2,63.62,0,1
TXN-00000027,58.92,pharmacy,2,5,16.35,0,1687,4,20.05,1,0
TXN-00000028,193.6,hardware,11,5,10.65,0,770,2,97.7,1,0
TXN-00000029,93.37,pharmacy,7,3,9.0,0,759,6,47.58,0,0
TXN-00000030,35.87,grocery,6,1,15.35,0,1470,3,105.27,0,0
TXN-00000031,5.02,pharmacy,3,6,8.67,0,1917,5,31.49,1,0
TXN-00000032,68.75,jewelry,11,4,31.31,0,1045,3,6.92,0,1
TXN-00000033,51.52,pharmacy,10,6,34.09,0,1548,4,21.71,1,0
TXN-00000034,109.92,travel,10,5,4.85,0,767,7,157.93,1,0
TXN-00000035,2.99,jewelry,14,0,0.19,0,1372,3,34.87,0,0
TXN-00000036,46.13,travel,2,2,14.93,0,1994,4,45.07,0,0
TXN-00000037,62.56,gas_station,5,3,32.63,0,286,2,22.33,0,1
TXN-00000038,3.03,education,19,6,20.96,1,477,5,13.26,1,0
TXN-00000039,29.44,travel,17,3,17.54,0,1260,2,46.66,0,0
TXN-00000040,6.31,travel,1,0,1.9,0,1233,2,16.0,0,0
TXN-00000041,15.1,travel,18,1,23.27,0,1273,6,22.09,0,0
TXN-00000042,344.2,restaurant,2,6,0.44,0,269,4,6.88,1,0
TXN-00000043,8.66,education,0,2,3.89,0,837,5,18.7,0,0
TXN-00000044,8.41,travel,15,3,15.55,0,721,6,41.78,0,0
TXN-00000045,51.41,grocery,6,3,5.6,0,668,1,4.99,0,0
TXN-00000046,170.14,pharmacy,3,1,8.04,0,1202,6,26.56,0,1
TXN-00000047,85.54,clothing,12,3,6.33,0,328,5,17.22,0,1
TXN-00000048,38.78,grocery,10,3,3.45,0,939,1,7.01,0,0
TXN-00000049,17.35,education,14,5,2.85,0,987,5,10.95,1,0
TXN-00000050,73.35,education,20,2,22.8,0,965,5,16.26,0,0
TXN-00000051,30.42,education,22,4,6.57,0,1262,1,14.55,0,0
TXN-00000052,41.49,restaurant,14,3,12.08,0,15,10,121.25,0,0
TXN-00000053,12.12,education,15,2,63.02,0,1939,3,8.8,0,0
TXN-00000054,17.73,hardware,23,6,23.24,0,930,2,14.74,1,0
TXN-00000055,82.72,gas_station,0,0,2.19,0,746,6,15.01,0,0
TXN-00000056,19.52,jewelry,0,6,14.89,1,1029,4,89.01,1,0
TXN-00000057,20.36,pharmacy,14,3,9.65,0,794,1,37.32,0,0
TXN-00000058,76.63,travel,23,4,14.01,0,593,6,21.34,0,1
TXN-00000059,8.81,electronics,4,3,5.06,0,36,5,22.98,0,1
TXN-00000060,4.76,hardware,21,2,18.32,0,1059,2,47.88,0,0
